"","GSM6205132","GSM6205136","GSM6205138","GSM6205140","GSM6205142","GSM6205144"
"CD4+_T_em_DPP4",8.43548372657805,8.52132204770855,8.52309409343597,8.43548372657804,8.56858845986699,8.43548372657805
"CD4+_T_em_RPS25",12.3737395828503,12.7051980347236,12.6673662090898,12.3032205487473,12.6343707401096,12.474624530997
"CD4+_T_em_LGALS1",8.53319133315115,8.62836376006236,8.62222806008638,8.72799068161542,8.52557040180724,8.78790666276667
"CD4+_T_em_FXYD7",8.48516453697025,8.62836376006236,8.59143789651496,8.43548372657805,8.56858845986699,8.43548372657805
"CD4+_T_naive_EVI2B",8.74339341423158,8.65679047631834,8.72788838219666,8.66612045840089,8.89516955199689,8.73409358028171
"CD4+_T_naive_ADD3",8.75511860088621,8.70390788788881,8.68198990386743,8.68549602110711,8.66303632065995,8.61903043971511
"CD4+_T_naive_PLP2",8.51128433105412,8.57279260730552,8.57946605176926,8.49804911734066,8.61010759825064,8.53761951504901
"CD4+_T_naive_RIC3",8.47517347461749,8.46548545610928,8.4923333901495,8.44219027433002,8.5389168195699,8.51540952346787
"CD4+_T_naive_S100A4",8.99416344600365,9.09086421034384,9.16770319761724,8.88359871412177,9.24347993198753,9.29443071174776
"CD4+_T_naive_LGALS1",8.39539718417039,8.42855916210522,8.47963809271866,8.43533946948515,8.50920442860155,8.63662833065329
"CD4+_T_naive_MARCKSL1",8.65590136389647,8.57748556726318,8.55471293404452,8.65960355215478,8.47545680184633,8.61381324491504
"CD4+_T_naive_ITM2A",8.73094685557512,8.72690184992691,8.74104643820265,8.76717994221867,8.68584154894672,8.8984335675748
"CD56+_NK_S100A6",9.90184938192965,9.59018536350856,9.75021605093437,9.36662342818449,9.79435386951591,10.23611951124
"CD56+_NK_COTL1",9.6292432978783,9.49511355298431,9.39443903474098,9.71610796478643,8.95158418401167,9.77697160870986
"CD56+_NK_LAMTOR5",9.12058163198002,9.03618361503335,9.07674958467908,9.12828195378468,9.10649877156294,9.21043182582639
"CD56+_NK_S100A4",9.71252499323668,9.67937752560736,9.90004940434896,9.22839079599478,10.1195282908015,10.2876232930483
